Source,Target,Type,Weight
1697413,2240170,Undirected,7
1697413,2744465,Undirected,2
1697413,3147217,Undirected,2
1697413,3335298,Undirected,3
1697413,3344254,Undirected,6
1697413,4675369,Undirected,4
1697413,7402018,Undirected,1
1697413,29824845,Undirected,1
1697413,33411132,Undirected,2
1697413,40637427,Undirected,10
1697413,46223806,Undirected,2
1697413,49620969,Undirected,3
1697413,50779082,Undirected,2
1697413,143615345,Undirected,12
1697413,144516687,Undirected,2
1697413,144768649,Undirected,4
1697413,145906750,Undirected,2
1697413,145967056,Undirected,6
1697413,1471457466,Undirected,1
1697413,1519970085,Undirected,1
1697413,1712242431,Undirected,2
1697413,2056141939,Undirected,1
1697413,2099586514,Undirected,2
1697413,2108267457,Undirected,2
1697413,2109660691,Undirected,5
1697413,2118894900,Undirected,2
1697413,2144896202,Undirected,2
1697413,2145225543,Undirected,1
1697413,2146267242,Undirected,2
1697413,2163392214,Undirected,1
1697413,2216760794,Undirected,1
1697413,2216836549,Undirected,1
1697413,2216854414,Undirected,1
1697413,2224616092,Undirected,1
1697413,2258678973,Undirected,3
1697413,2268073784,Undirected,1
1697413,2284889411,Undirected,1
1697413,2288543225,Undirected,1
1697413,2303483971,Undirected,2
1697413,2304180315,Undirected,12
1697413,2311438160,Undirected,1
1697413,2333944473,Undirected,1
1697413,2353267754,Undirected,1
1697413,2402869408,Undirected,1
1697443,35829779,Undirected,1
1697444,145906750,Undirected,1
1697444,2258678973,Undirected,1
1697703,33411132,Undirected,1
1697795,1727814,Undirected,7
1697795,145967056,Undirected,2
1697944,2166511,Undirected,7
1697944,2228109,Undirected,4
1697944,2844898,Undirected,5
1697944,90639472,Undirected,1
1697944,2197900626,Undirected,1
1698032,33747720,Undirected,1
1698041,1868195,Undirected,2
1698041,73774928,Undirected,3
1698172,145967056,Undirected,1
1698253,2091330,Undirected,1
1698315,38144094,Undirected,1
1698454,2788351,Undirected,1
1698517,145967056,Undirected,1
1698540,2788351,Undirected,1
1698540,20658113,Undirected,1
1698617,1745169,Undirected,1
1698663,35118626,Undirected,1
1698663,2238510308,Undirected,1
1698669,1710259,Undirected,1
1698711,37154480,Undirected,1
1698741,48814663,Undirected,1
1698973,2381580561,Undirected,1
1698982,2228109,Undirected,3
1699139,145967056,Undirected,1
1699159,3179069,Undirected,1
1699297,49988044,Undirected,1
1699297,2316152845,Undirected,2
1699339,1737063,Undirected,1
1699433,145944286,Undirected,4
1699433,2265578799,Undirected,1
1699600,2145225543,Undirected,1
1699677,145967056,Undirected,8
1700186,1797584,Undirected,1
1700275,38144094,Undirected,2
1700326,1798880,Undirected,1
1700326,1981186,Undirected,1
1700326,3285647,Undirected,2
1700326,10685934,Undirected,7
1700326,1403462444,Undirected,2
1700326,2152803550,Undirected,2
1700326,2209208754,Undirected,3
1700539,145967056,Undirected,1
1700553,40520460,Undirected,1
1700553,120245577,Undirected,1
1700567,47829900,Undirected,1
1700852,1759256,Undirected,3
1701041,2969311,Undirected,2
1701090,37154480,Undirected,1
1701609,153884534,Undirected,1
1701677,1798880,Undirected,2
1701677,3113442,Undirected,1
1701686,1745169,Undirected,1
1701686,2258678973,Undirected,1
1701799,2969311,Undirected,2
1701847,1843103,Undirected,1
1701847,46244116,Undirected,1
1702030,145967056,Undirected,1
1702051,145967056,Undirected,4
